"","precio","lat","long","x","y","optional"
"665",3.005,17.9314966901314,-100.616325242605,-100.616325242605,17.9314966901314,TRUE
"666",3.296,17.9314966901314,-100.616325242605,-100.616325242605,17.9314966901314,TRUE
"667",3.246,17.9314966901314,-100.616325242605,-100.616325242605,17.9314966901314,TRUE
"668",2.5,17.3679178446229,-98.382217033009,-98.382217033009,17.3679178446229,TRUE
"669",4.236,17.3679178446229,-98.382217033009,-98.382217033009,17.3679178446229,TRUE
"670",4.88375,17.6339036951849,-98.5085520071172,-98.5085520071172,17.6339036951849,TRUE
"671",4.983,17.6339036951849,-98.5085520071172,-98.5085520071172,17.6339036951849,TRUE
"672",4.512,17.6339036951849,-98.5085520071172,-98.5085520071172,17.6339036951849,TRUE
"673",4.39318,18.0937722149974,-99.9935883605688,-99.9935883605688,18.0937722149974,TRUE
"674",2.98702,18.2536993598865,-100.193906706114,-100.193906706114,18.2536993598865,TRUE
"675",3.4739,18.2536993598865,-100.193906706114,-100.193906706114,18.2536993598865,TRUE
"676",3.40616,18.2536993598865,-100.193906706114,-100.193906706114,18.2536993598865,TRUE
"677",3.55885,18.1352813301695,-99.0337405773461,-99.0337405773461,18.1352813301695,TRUE
"678",3.44546,18.1352813301695,-99.0337405773461,-99.0337405773461,18.1352813301695,TRUE
"679",4.826,17.2607466000406,-98.582352975695,-98.582352975695,17.2607466000406,TRUE
"680",4.955,17.4748351448179,-98.8411081183307,-98.8411081183307,17.4748351448179,TRUE
"681",3.856,17.4748351448179,-98.8411081183307,-98.8411081183307,17.4748351448179,TRUE
"682",4.33,17.4748351448179,-98.8411081183307,-98.8411081183307,17.4748351448179,TRUE
"683",3.93744,17.3105588899386,-100.342569879568,-100.342569879568,17.3105588899386,TRUE
"684",3.94157,17.3105588899386,-100.342569879568,-100.342569879568,17.3105588899386,TRUE
"685",3.53054,16.9720814452089,-99.0354114473484,-99.0354114473484,16.9720814452089,TRUE
"686",3.57734,16.9720814452089,-99.0354114473484,-99.0354114473484,16.9720814452089,TRUE
"687",3.43241,16.6549811751031,-98.5792266213507,-98.5792266213507,16.6549811751031,TRUE
"688",4.27272,16.6549811751031,-98.5792266213507,-98.5792266213507,16.6549811751031,TRUE
"689",4.10747,17.0856181603644,-100.42700346151,-100.42700346151,17.0856181603644,TRUE
"690",3.85323,17.0856181603644,-100.42700346151,-100.42700346151,17.0856181603644,TRUE
"691",3.47042,18.4689982100096,-99.425377094175,-99.425377094175,18.4689982100096,TRUE
"692",3.34525,18.4689982100096,-99.425377094175,-99.425377094175,18.4689982100096,TRUE
"693",4.25847,17.4905530847835,-99.1322116900261,-99.1322116900261,17.4905530847835,TRUE
"694",4.52027,17.4905530847835,-99.1322116900261,-99.1322116900261,17.4905530847835,TRUE
"695",4.15033,17.3919748300033,-99.7428629610106,-99.7428629610106,17.3919748300033,TRUE
"696",4.96839,17.3919748300033,-99.7428629610106,-99.7428629610106,17.3919748300033,TRUE
"697",3.58841,18.2942552153548,-101.663427153563,-101.663427153563,18.2942552153548,TRUE
"698",3.88922,18.2942552153548,-101.663427153563,-101.663427153563,18.2942552153548,TRUE
"699",4.952,17.1229386149959,-98.4201761719932,-98.4201761719932,17.1229386149959,TRUE
"700",4.978,17.1229386149959,-98.4201761719932,-98.4201761719932,17.1229386149959,TRUE
"701",3.36964,18.1398235251476,-99.7226312859069,-99.7226312859069,18.1398235251476,TRUE
"702",3.55117,18.1398235251476,-99.7226312859069,-99.7226312859069,18.1398235251476,TRUE
"703",3.8,16.6243930497517,-98.9403919075649,-98.9403919075649,16.6243930497517,TRUE
"704",3.95778,16.6243930497517,-98.9403919075649,-98.9403919075649,16.6243930497517,TRUE
