x	y	type
111	35	3
115	33	3
102	30	3
113	29	3
102	28	3
103	23	3
101	23	3
118	22	3
103	22	3
133	37	3
132	36	3
134	35	3
136	27	3
128	26	3
132	24	3
127	24	3
159	39	3
142	39	3
154	34	3
160	30	3
154	30	3
157	29	3
151	26	3
157	25	3
147	25	3
148	23	3
152	21	3
168	40	3
177	37	3
171	37	3
170	36	3
176	29	3
170	29	3
171	28	3
176	27	3
164	27	3
178	25	3
169	24	3
165	24	3
191	38	3
183	35	3
189	33	3
182	32	3
182	29	3
184	27	3
197	24	3
185	24	3
186	21	3
219	34	3
203	32	3
210	29	3
207	29	3
205	27	3
17	58	3
14	57	3
7	57	3
9	56	3
3	53	3
10	48	3
39	56	3
37	54	3
29	53	3
38	52	3
24	52	3
23	50	3
38	48	3
25	47	3
22	47	3
36	43	3
37	42	3
39	41	3
52	58	3
46	58	3
49	57	3
43	57	3
49	53	3
56	51	3
53	47	3
55	46	3
49	44	3
59	43	3
132	59	3
124	57	3
123	51	3
130	49	3
127	49	3
135	44	3
139	42	3
151	56	3
142	53	3
157	48	3
156	45	3
145	43	3
142	43	3
141	41	3
176	58	3
164	58	3
172	55	3
177	53	3
171	53	3
177	51	3
171	51	3
175	48	3
170	47	3
176	43	3
174	42	3
199	58	3
187	53	3
197	52	3
189	49	3
187	48	3
195	44	3
189	44	3
186	44	3
212	59	3
220	58	3
209	55	3
211	54	3
206	52	3
217	51	3
212	42	3
208	42	3
9	20	3
9	77	3
11	76	3
2	76	3
1	76	3
9	74	3
12	71	3
17	66	3
8	65	3
11	64	3
7	63	3
10	62	3
12	61	3
2	61	3
39	79	3
38	77	3
30	75	3
37	74	3
34	73	3
32	73	3
21	72	3
29	71	3
39	70	3
38	68	3
25	68	3
31	62	3
34	61	3
56	77	3
48	73	3
41	71	3
41	69	3
45	68	3
42	66	3
56	62	3
47	62	3
41	61	3
75	79	3
61	79	3
73	75	3
74	72	3
69	72	3
65	72	3
69	69	3
77	67	3
67	66	3
63	63	3
77	61	3
99	78	3
82	78	3
86	75	3
91	70	3
88	70	3
98	69	3
97	68	3
82	68	3
89	67	3
93	64	3
99	62	3
111	79	3
111	71	3
101	71	3
105	70	3
119	66	3
114	66	3
136	78	3
128	76	3
122	72	3
132	69	3
127	67	3
139	66	3
128	66	3
137	64	3
135	61	3
154	79	3
149	73	3
147	73	3
142	68	3
157	67	3
148	65	3
157	63	3
148	63	3
166	69	3
162	69	3
178	67	3
169	64	3
161	64	3
162	61	3
194	80	3
183	79	3
185	75	3
197	73	3
189	73	3
194	71	3
192	71	3
190	65	3
186	64	3
184	64	3
184	62	3
201	80	3
201	78	3
211	74	3
202	71	3
211	69	3
204	67	3
212	61	3
12	91	3
15	86	3
11	81	3
39	100	3
24	95	3
30	94	3
22	86	3
38	84	3
23	84	3
33	82	3
37	81	3
47	100	3
60	98	3
41	97	3
60	94	3
41	94	3
48	91	3
49	89	3
46	89	3
60	84	3
53	84	3
42	83	3
61	99	3
75	97	3
73	94	3
69	94	3
74	93	3
61	91	3
71	90	3
64	90	3
70	89	3
80	88	3
73	88	3
71	86	3
68	84	3
64	83	3
70	81	3
83	100	3
100	99	3
98	99	3
93	98	3
92	97	3
91	92	3
86	92	3
89	91	3
87	87	3
90	86	3
112	95	3
104	95	3
116	94	3
117	89	3
110	84	3
138	96	3
126	96	3
127	95	3
138	94	3
133	91	3
137	87	3
133	86	3
136	82	3
140	81	3
146	98	3
151	97	3
155	95	3
149	89	3
142	87	3
147	86	3
149	82	3
153	81	3
148	81	3
173	96	3
162	95	3
178	92	3
162	85	3
199	99	3
191	99	3
186	99	3
193	98	3
186	94	3
188	92	3
202	99	3
219	98	3
209	96	3
202	95	3
214	93	3
209	92	3
202	92	3
209	88	3
201	88	3
204	85	3
204	19	3
206	16	3
213	12	3
208	12	3
218	5	3
217	3	3
217	1	3
212	1	3
64	59	3
77	58	3
75	57	3
68	57	3
62	57	3
77	49	3
65	45	3
69	42	3
62	42	3
81	60	3
87	55	3
87	52	3
82	48	3
89	47	3
83	46	3
81	46	3
86	42	3
108	60	3
118	58	3
120	52	3
109	52	3
118	44	3
117	43	3
10	120	3
1	120	3
3	117	3
12	116	3
8	114	3
12	110	3
10	102	3
30	115	3
38	111	3
58	119	3
52	119	3
57	110	3
43	109	3
47	108	3
42	101	3
71	119	3
69	114	3
61	111	3
77	110	3
72	109	3
97	118	3
86	117	3
89	115	3
90	102	3
110	120	3
116	119	3
105	119	3
113	118	3
119	115	3
111	114	3
109	112	3
118	109	3
109	109	3
114	106	3
115	103	3
122	117	3
122	115	3
134	111	3
133	102	3
158	119	3
144	118	3
157	109	3
150	109	3
147	101	3
180	111	3
178	111	3
166	107	3
177	103	3
169	101	3
189	114	3
198	111	3
191	110	3
183	106	3
182	103	3
210	118	3
208	118	3
216	114	3
202	110	3
217	108	3
215	108	3
203	104	3
11	140	3
14	139	3
7	133	3
11	132	3
10	131	3
12	130	3
9	126	3
4	124	3
9	122	3
21	140	3
33	132	3
33	130	3
59	138	3
49	137	3
49	132	3
59	127	3
58	122	3
60	121	3
49	121	3
77	135	3
70	133	3
68	132	3
64	124	3
61	122	3
98	136	3
93	135	3
98	134	3
83	134	3
97	132	3
85	129	3
108	140	3
106	136	3
114	133	3
113	131	3
102	121	3
139	139	3
135	132	3
131	131	3
130	131	3
123	131	3
125	128	3
128	127	3
123	127	3
139	121	3
152	132	3
159	130	3
158	128	3
143	122	3
157	121	3
178	139	3
171	136	3
169	134	3
173	133	3
163	131	3
163	127	3
178	125	3
187	138	3
192	133	3
189	132	3
190	130	3
187	130	3
194	128	3
182	127	3
219	137	3
210	137	3
216	127	3
213	127	3
214	124	3
203	121	3
203	220	3
207	219	3
82	219	3
75	219	3
217	218	3
8	218	3
201	217	3
182	217	3
163	217	3
135	217	3
132	217	3
97	217	3
74	217	3
21	217	3
182	216	3
45	216	3
20	216	3
9	215	3
74	214	3
52	214	3
50	214	3
38	214	3
217	213	3
212	213	3
207	213	3
164	212	3
42	212	3
123	211	3
74	210	3
156	209	3
143	209	3
17	209	3
217	208	3
191	208	3
181	208	3
175	208	3
132	208	3
122	208	3
74	208	3
42	208	3
40	208	3
33	208	3
2	208	3
167	207	3
164	207	3
120	207	3
76	207	3
58	207	3
179	206	3
22	206	3
4	206	3
213	205	3
207	205	3
186	205	3
64	205	3
215	204	3
189	204	3
109	204	3
75	204	3
62	204	3
50	204	3
9	204	3
188	203	3
39	203	3
29	203	3
13	203	3
200	202	3
138	202	3
72	202	3
70	202	3
68	202	3
49	202	3
2	202	3
194	201	3
128	201	3
102	201	3
93	201	3
11	201	3
214	200	3
96	200	3
66	200	3
196	199	3
190	199	3
136	199	3
51	199	3
49	199	3
210	198	3
119	198	3
75	198	3
57	198	3
28	198	3
210	197	3
162	197	3
152	197	3
109	197	3
86	197	3
81	196	3
212	195	3
95	195	3
26	195	3
194	194	3
213	193	3
187	193	3
98	193	3
42	193	3
91	192	3
61	192	3
33	192	3
211	191	3
182	191	3
60	190	3
46	190	3
29	190	3
219	189	3
173	189	3
130	189	3
48	189	3
41	189	3
38	189	3
19	189	3
220	188	3
188	188	3
133	188	3
131	188	3
39	188	3
29	188	3
9	188	3
169	187	3
32	187	3
135	186	3
8	186	3
185	185	3
172	185	3
168	185	3
133	185	3
130	185	3
127	185	3
77	184	3
73	184	3
204	183	3
194	183	3
125	183	3
107	183	3
201	182	3
165	182	3
162	182	3
200	181	3
131	181	3
109	181	3
69	181	3
56	181	3
53	181	3
145	180	3
131	180	3
163	179	3
146	179	3
133	179	3
126	179	3
112	179	3
108	179	3
51	179	3
49	179	3
42	179	3
8	179	3
53	178	3
39	178	3
22	178	3
203	177	3
57	177	3
50	177	3
43	177	3
131	176	3
125	176	3
213	175	3
211	175	3
200	175	3
186	175	3
197	174	3
172	174	3
107	174	3
70	174	3
190	173	3
175	172	3
157	172	3
89	172	3
27	172	3
202	171	3
182	171	3
109	171	3
64	171	3
38	171	3
206	170	3
165	170	3
42	170	3
202	169	3
111	169	3
77	169	3
74	169	3
17	169	3
192	168	3
183	168	3
148	168	3
82	168	3
37	168	3
127	167	3
64	167	3
184	166	3
107	166	3
50	166	3
35	166	3
26	166	3
206	165	3
174	165	3
151	165	3
112	165	3
48	165	3
210	164	3
194	164	3
160	164	3
128	164	3
83	164	3
205	163	3
170	163	3
122	163	3
179	162	3
132	162	3
127	162	3
109	162	3
92	162	3
202	161	3
71	161	3
49	161	3
28	161	3
220	160	3
90	160	3
58	160	3
28	160	3
13	160	3
209	159	3
178	159	3
86	159	3
48	159	3
22	159	3
180	158	3
153	158	3
129	158	3
89	158	3
83	158	3
79	158	3
155	157	3
151	157	3
103	157	3
29	157	3
192	156	3
149	156	3
133	156	3
84	156	3
73	156	3
72	155	3
65	155	3
28	155	3
203	154	3
138	154	3
115	154	3
48	154	3
6	154	3
211	153	3
208	153	3
193	153	3
190	153	3
152	153	3
131	153	3
102	153	3
206	152	3
189	152	3
90	152	3
56	152	3
210	151	3
204	151	3
214	150	3
207	150	3
52	150	3
219	149	3
189	149	3
90	149	3
203	148	3
108	148	3
105	148	3
192	147	3
129	147	3
79	147	3
193	146	3
182	146	3
119	146	3
109	146	3
107	146	3
86	146	3
44	146	3
29	146	3
211	145	3
169	145	3
71	145	3
56	145	3
199	144	3
131	144	3
59	144	3
140	143	3
29	143	3
19	143	3
218	142	3
49	142	3
10	142	3
216	141	3
178	141	3
141	141	3
116	141	3
52	141	3
28	141	3
20	141	3
91	95	4
88	95	4
2	19	5
10	11	5
29	19	5
33	16	5
37	14	5
24	8	5
40	2	5
22	2	5
18	39	5
4	39	5
7	37	5
7	30	5
18	28	5
3	26	5
17	22	5
22	39	5
29	33	5
28	32	5
29	29	5
26	29	5
31	27	5
27	21	5
48	18	5
46	18	5
42	12	5
53	6	5
46	6	5
48	5	5
49	2	5
70	2	5
61	2	5
91	20	5
93	12	5
99	5	5
93	3	5
